month,scenario,species,sst_anomaly_c,temperature_c,atmosphere_ppt,atmosphere_target_ppt,mixed_layer_pmol_kg,deep_ocean_pmol_kg,henry_mol_m3_pa,air_to_sea_flux_mol_yr,mixed_to_deep_flux_mol_yr,external_atmospheric_flux_mol_yr,cumulative_air_to_sea_mol,cumulative_outgassing_mol,cumulative_external_mol,total_inventory_mol,mass_balance_residual_mol
2016-01,observed_sst,CFC-11,0.8215,15.821500000000015,230.50050258519062,230.476,2.2514450581727696,0.3572671760534485,0.00011075587189256335,3021824.834255051,3504465.8541560094,-44398684.36541748,0.0,0.0,0.0,35329752360.13631,0.0
2016-02,observed_sst,CFC-11,0.7847,15.784699999999987,230.47622011189588,230.455,2.249438855801424,0.357483276395472,0.00011095514831831963,3091543.546884892,3500354.3163484363,-38450842.755340576,254745.97943572674,0.0,-3411907.4880856327,35326340452.64823,1.0376330465078354e-05
2016-03,observed_sst,CFC-11,0.8069,15.806899999999985,230.39882414311396,230.284,2.24756712815392,0.3576991345623326,0.00011083488370996916,3072491.3857517266,3496492.0216436363,-208061347.32247925,511652.829700133,0.0,-14841791.92389093,35314910568.212425,9.39890742301941e-06
2016-04,observed_sst,CFC-11,0.7457,15.7457,230.26886618565092,230.131,2.2458641397880843,0.3579147595296732,0.00011116678492902171,3159456.364869731,3492942.3471505935,-249813528.39944458,771366.6103686744,0.0,-34205729.720141634,35295546630.41617,3.084540367126465e-06
2016-05,observed_sst,CFC-11,0.737,15.737000000000023,230.14456118000888,230.033,2.2443976334747164,0.35813018216795656,0.00011121405902154977,3172510.889348247,3489830.5683489195,-202148858.17611694,1035182.3407559477,0.0,-52711969.84174172,35277040390.29462,5.16548752784729e-05
2016-06,observed_sst,CFC-11,0.7517,15.751700000000028,230.02805671338228,229.911,2.2429344184376436,0.35834541434341516,0.00011113419547328286,3154376.129568764,3486725.231199834,-212106764.64871216,1298801.7264441408,0.0,-70040524.91664411,35259711835.21969,2.5764107704162598e-05
2016-07,observed_sst,CFC-11,0.7414,15.741399999999999,229.8911557121199,229.743,2.2414768180461024,0.3585604538897919,0.00011119014741716299,3167976.141094838,3483630.6382346936,-268458150.3612671,1562264.8269404767,0.0,-90449113.00676642,35239303247.12956,2.2038817405700684e-05
2016-08,observed_sst,CFC-11,0.7392,15.739199999999983,229.77248547988012,229.678,2.240068927708355,0.35877530574430005,0.00011120210248559946,3172139.653302039,3480628.3623362468,-171207689.54278564,1826394.1305742755,0.0,-108104188.77136196,35221648171.36499,4.5433640480041504e-05
2016-09,observed_sst,CFC-11,0.7042,15.704200000000014,229.70685937057004,229.665,2.238806056191301,0.35898997851823344,0.00011139249427738532,3226142.1014855597,3477894.7207048833,-75849179.47293091,2092964.5990069343,0.0,-117747160.8087419,35212005199.32761,4.13358211517334e-05
2016-10,observed_sst,CFC-11,0.6695,15.669500000000028,229.7039099724599,229.732,2.2378068397089823,0.3592044975113537,0.00011158162160245183,3284546.108760225,3475649.1583583876,50899129.902648926,2364205.3201304255,0.0,-117921279.202268,35211831080.9341,5.8531761169433594e-05
2016-11,observed_sst,CFC-11,0.6019,15.6019,229.7440433406518,229.796,2.2371870141071,0.3594188976521128,0.00011195111930189406,3389494.636113558,3474105.7364562834,94145466.73892212,2642304.725821569,0.0,-111583041.1995834,35218169318.93676,3.6582350730895996e-05
