species,reference_henry_mol_m3_pa,effective_dissolution_enthalpy_kj_mol,observed_net_ocean_to_air_mol,counterfactual_net_ocean_to_air_mol,temperature_driven_net_release_mol,temperature_driven_net_release_Gg,observed_ocean_uptake_Gg,counterfactual_ocean_uptake_Gg,temperature_driven_uptake_reduction_Gg,ocean_uptake_reduction_percent,observed_gross_outgassing_mol,counterfactual_gross_outgassing_mol,temperature_driven_gross_outgassing_mol,temperature_driven_gross_outgassing_Gg,gross_outgassing_acceleration_percent,observed_global_flux_regime,max_abs_mass_balance_residual_mol,case
CFC-11,0.00011530337786902453,-33.91094075508974,-29876075.811561424,-32684843.172128897,2808767.360567473,0.38583475478643264,4.10401678208257,4.489851536869002,0.38583475478643264,8.593485811682193,0.0,0.0,0.0,0.0,,net sink,0.000125885009765625,baseline
CFC-12,3.112159778944955e-05,-29.870910975013018,-18753408.939222027,-20250570.115514643,1497161.1762926169,0.1810262493090692,2.267530935068153,2.448557184377222,0.1810262493090692,7.393180378391379,0.0,0.0,0.0,0.0,,net sink,0.00032138824462890625,baseline
CFC-11,0.00011530337786902453,-33.91094075508974,-29027928.02808335,-31688725.441957194,2660797.413873844,0.36550841914902216,3.9875084173617537,4.3530168365107755,0.36550841914902216,8.396669088971427,0.0,0.0,0.0,0.0,,net sink,0.00014662742614746094,gas_transfer_-20pct
CFC-12,3.112159778944955e-05,-29.870910975013018,-18205332.49408903,-19623036.116315093,1417703.6222260632,0.17141879807421997,2.2012613678577866,2.3726801659320067,0.17141879807421997,7.224690480222621,0.0,0.0,0.0,0.0,,net sink,0.0005655288696289062,gas_transfer_-20pct
CFC-11,0.00011530337786902453,-33.91094075508974,-30469583.465167478,-33381554.80727462,2911971.3421071433,0.40001167932257403,4.185545741443126,4.5855574207657,0.40001167932257403,8.72329452273612,0.0,0.0,0.0,0.0,,net sink,0.0001537799835205078,gas_transfer_+20pct
CFC-12,3.112159778944955e-05,-29.870910975013018,-19140087.903170478,-20692755.047907792,1552667.1447373144,0.1877376424716229,2.3142854486360522,2.5020230911076746,0.1877376424716229,7.50343364690968,0.0,0.0,0.0,0.0,,net sink,0.0005035400390625,gas_transfer_+20pct
CFC-11,0.00011530337786902453,-33.91094075508974,-24768225.788892426,-27115390.31760942,2347164.5287169926,0.3224252969807958,3.402361640168575,3.72478693714937,0.3224252969807958,8.656207789097119,0.0,0.0,0.0,0.0,,net sink,0.00014591217041015625,mixed_layer_depth_-20pct
CFC-12,3.112159778944955e-05,-29.870910975013018,-15539769.19373208,-16791357.201412924,1251588.0076808445,0.15133326077271395,1.8789601125217268,2.0302933732944406,0.15133326077271395,7.453763222758006,0.0,0.0,0.0,0.0,,net sink,0.000377655029296875,mixed_layer_depth_-20pct
CFC-11,0.00011530337786902453,-33.91094075508974,-34645458.365694836,-37872051.21857863,3226592.8528837934,0.44323060701494094,4.759177324778768,5.202407931793709,0.44323060701494094,8.519720345384794,0.0,0.0,0.0,0.0,,net sink,0.00022077560424804688,mixed_layer_depth_+20pct
CFC-12,3.112159778944955e-05,-29.870910975013018,-21760236.55260703,-23479543.86766629,1719307.3150592595,0.20788660538576026,2.6310954822853736,2.838982087671134,0.20788660538576026,7.322575450142879,0.0,0.0,0.0,0.0,,net sink,0.0003323554992675781,mixed_layer_depth_+20pct
CFC-11,0.00011530337786902453,-27.128752604071792,-30201212.285530787,-32457167.0908246,2255954.8052938133,0.30989599969360054,4.148680129238793,4.458576128932393,0.30989599969360054,6.9505597915585025,0.0,0.0,0.0,0.0,,net sink,0.00023555755615234375,enthalpy_-20pct
CFC-12,3.112159778944955e-05,-23.896728780010417,-18928437.311712954,-20130367.36713079,1201930.0554178357,0.14532896879073676,2.2886941406711485,2.434023109461885,0.14532896879073676,5.970730854024889,0.0,0.0,0.0,0.0,,net sink,0.0002586841583251953,enthalpy_-20pct
CFC-11,0.00011530337786902453,-40.69312890610768,-29553936.004679885,-32911120.03391168,3357184.029231794,0.46116965572751306,4.059765081090866,4.520934736818379,0.46116965572751306,10.200758970744676,0.0,0.0,0.0,0.0,,net sink,0.0002728700637817383,enthalpy_+20pct
CFC-12,3.112159778944955e-05,-35.84509317001562,-18579794.522327613,-20370116.15618969,1790321.6338620782,0.21647315971516545,2.2465386950781983,2.463011854793364,0.21647315971516545,8.788961339909045,0.0,0.0,0.0,0.0,,net sink,0.0005693435668945312,enthalpy_+20pct
