section,parameter,value,unit
experiment,name,deterministic_validation,
experiment,duration_days,60.0,
experiment,output_interval_days,1.0,
experiment,sst_k,288.15,
experiment,air_temperature_k,288.15,
experiment,wind_speed_m_s,8.0,
experiment,salinity_psu,35.0,
experiment,gradient_richardson_number,1.0,
experiment,ph,7.7,
experiment,chlorophyll_a_mg_m3,2.0,
experiment,cfc11_start_ppt,230.0,
experiment,cfc11_end_ppt,228.0,
experiment,cfc12_start_ppt,510.0,
experiment,cfc12_end_ppt,507.0,
config,ocean_area_m2,361000000000000.0,
config,mixed_layer_depth_m,50.0,
config,deep_ocean_depth_m,3650.0,
config,marine_boundary_layer_height_m,1000.0,
config,seawater_density_kg_m3,1025.0,
config,surface_pressure_pa,101325.0,
config,tropospheric_dry_air_mol,1.51e+20,
config,vertical_exchange_timescale_s,315576000.0,
config,atmospheric_nudging_timescale_s,2629800.0,
config,initial_deep_saturation_fraction,0.15,
config,wanninkhof_coefficient_cm_hr,0.251,
config,reference_schmidt_number,660.0,
config,richardson_scaling_gamma,1.0,
config,richardson_scaling_exponent,0.35,
config,chbr3_henry_reference_mol_m3_pa,0.019,
config,chbr3_henry_reference_temperature_k,298.15,
config,chbr3_henry_temperature_parameter_k,4700.0,
config,chbr3_hydrolysis_arrhenius_prefactor_l_mol_s,1.23e+17,
config,chbr3_hydrolysis_activation_energy_j_mol,107300.0,
config,chbr3_hydrolysis_reference_ph,8.1,
config,chlorophyll_emission_coefficient_molecule_cm2_s_per_mg_m3,112700.0,
config,chbr3_species_fraction,2.0,
config,extra_tropical_coastal_modifier,2.5,
config,initial_chbr3_aqueous_mol_m3,5e-09,
config,chbr3_photolysis_s,2e-06,
config,hobr_photolysis_s,0.005,
config,hox_production_molecule_cm3_s,1000000.0,
config,chlorine_molecule_cm3,10000.0,
config,ozone_molecule_cm3,700000000000.0,
config,br_o3_rate_cm3_molecule_s,1.2e-12,
config,bro_ho2_activation_parameter_k,580.0,
config,ho2_background_loss_s,0.05,
config,oh_background_loss_s,4.0,
config,hobr_termination_s,0.0001,
config,initial_chbr3_gas_molecule_cm3,1000000000.0,
config,initial_br_molecule_cm3,0.0,
config,initial_bro_molecule_cm3,0.0,
config,initial_ho2_molecule_cm3,100000000.0,
config,initial_oh_molecule_cm3,1000000.0,
config,initial_hobr_molecule_cm3,0.0,
config,relative_tolerance,1e-07,
config,maximum_step_s,86400.0,
derived,mixed_layer_volume_m3,1.805e+16,
derived,deep_ocean_volume_m3,1.31765e+18,
forcing,mode,deterministic_validation_defaults,
forcing,loaded_files,,
forcing,missing_inputs,ph; chlorophyll; salinity,
forcing,notes,Using static validation forcing because one or more forcing CSV files are missing.,
species,CFC11_molecular_weight_g_mol,137.368,
species,CFC12_molecular_weight_g_mol,120.913,
