time_s,day,CHBr3_gas_molecule_cm3,Br_molecule_cm3,BrO_molecule_cm3,HO2_molecule_cm3,OH_molecule_cm3,HOBr_molecule_cm3,CHBr3_aqueous_mol_m3,CFC11_air_mol,CFC11_mixed_mol,CFC11_deep_mol,CFC11_cumulative_air_to_sea_mol,CFC11_cumulative_external_mol,CFC12_air_mol,CFC12_mixed_mol,CFC12_deep_mol,CFC12_cumulative_air_to_sea_mol,CFC12_cumulative_external_mol
0.0,0.0,1000000000.0,0.0,0.0,100000000.0,1000000.0,0.0,5e-09,34730000000.0,48502450.936846346,531101837.75846744,0.0,0.0,77010000000.0,29028585.920775063,317863015.8324869,0.0,0.0
86400.0,1.0,671584579.9025204,170107.78910654978,245186637.2048921,17165219.047614433,284715.3844970655,27772335.461894248,1.1039928535621653e-08,34729917886.31841,48491497.44136189,531113123.58306825,332.32911614436375,-81781.35251349096,77009877125.35614,29022030.7278047,317869770.36806744,199.3426100051946,-122675.30127606973
172800.0,2.0,461984725.941723,184439.2067143469,272680534.23873705,16896416.372150857,288039.2256028025,30431374.679434028,1.4700492750237632e-08,34729675128.24302,48481176.399538584,531124406.45420814,1294.1584327958014,-323577.59859892784,77009513830.15804,29015856.641398262,317876523.1364284,778.0245645880734,-485391.8173979744
259200.0,3.0,328091992.1236811,159604.8067746774,231059315.06142023,17306265.365980856,283024.79806211556,26419823.313272636,1.6853635510477263e-08,34729276967.1115,48471437.571065366,531135686.5380973,2835.4138487461864,-720197.474695831,77008917912.03572,29010035.959363155,317883274.2380832,1708.444184209584,-1080379.520085653
345600.0,4.0,242314192.75693956,126684.62551330973,177877420.55567652,17859903.219709527,276240.2263891813,20992165.74258503,1.8053729754465415e-08,34728728471.543495,48462234.100309946,531146963.9876584,4909.39265429417,-1266619.0638914586,77008096914.83055,29004542.782532204,317890023.7662093,2964.7954793666695,-1900120.3739287092
432000.0,5.0,187098773.82225314,97533.70459577942,133262538.13257734,18352456.547771335,270201.37082810636,16161084.31435337,1.865270819851601e-08,34728034543.23227,48453522.302832305,531158238.9434237,7472.550941915194,-1957984.216825654,77007058136.90793,28999352.902930733,317896771.8071275,4522.9567959155875,-2937340.1352628134
518400.0,6.0,151300290.9577112,75496.25049090521,101038988.07074137,18725457.97125163,265627.21980241715,12501766.95902693,1.887387582960778e-08,34727199922.53557,48445261.464968,531169511.53437614,10484.304030071273,-2789593.1604370032,77005808639.19287,28994443.698726844,317903518.4407492,6360.38621385111,-4185000.420889996
604800.0,7.0,127845334.19044879,60110.90118017302,79280032.37810118,18986025.452101626,262431.4924091836,9945187.878126387,1.8858893370009352e-08,34726229193.87477,48437413.65565936,531180781.87873656,13906.839081848202,-3756899.286180549,77004355252.94182,28989794.035540182,317910263.7409988,8456.023276683349,-5636291.03488862
691200.0,8.0,112244636.50540179,49763.407400621625,64977791.86231942,19161284.5686952,260281.92938219066,8225539.475016499,1.8697610269704662e-08,34725126790.94763,48429943.54982781,531192050.08470094,17704.93921467886,-4855504.113185431,77002704587.25586,28985384.17374481,317917007.77620625,10790.196688785409,-7284622.547434871
777600.0,9.0,101648281.3184666,42877.79016055197,55606750.921001785,19277882.189809695,258851.8507030252,7081477.877069415,1.8446993548314666e-08,34723897001.76305,48422818.26256171,531203316.2511312,21845.818378828986,-6081152.4185929615,77000863036.34767,28981195.68139119,317923750.60947835,13344.537607245247,-9123619.114699485
864000.0,10.0,94246513.15444961,38260.745905208416,49389041.38532984,19356031.02945381,257893.37819992483,6314700.743486912,1.8143137061023784e-08,34722543973.50067,48416007.193527125,531214580.4682016,26298.966414616192,-7429727.53294168,76998836786.56454,28977211.35244246,317930492.29904455,16101.898224764553,-11147111.537233656
